date | value
1994-01-03     |     1.0
2020-01-03|1.0
2020-01-03 | 2.0
2023-01-01 | 1.0
3000-02-01 | 1.168451
2020-03-31 | 12.4532
2--2-03-30 | 1.4564
2000 03 30 | 254.1
2021-01-01   2.1
2021-01-01 | 2.1
2021-01-011 | 2.1
2021-011-01 | 2.1
2021-0-01 | 2.1
2021-01-01    | 2.1
2021-01-01 |    2.1
2021-01-01 | 2.1   
2021-01-01 | 2. 
2021-01-01 |2.1
2021-01-01| 2.1
2021-01-01|2.1
2021-01-01 | 0
2021-01-01 | -100
2021-01-01 | 190191209022901
2021-01-01 | a
2021-01-01 | avefw


2012-12-10 | 10agsuywqd

